pitcher_name,pitcher_race
Ian Thomas,white
Ivan Nova,black
J.C. Gutierrez,black
J.C. Ramirez,black
J.J. Putz,white
J.R. Graham,white
Jack Leathersich,white
Jacob Lindgren,white
Jacob deGrom,white
Jaff Decker,white
Jaime Garcia,hispanic
Jairo Asencio,black
Jairo Diaz,hispanic
Jake Brigham,white
Jake Buchanan,white
Jake Diekman,white
Jake Dunning,asian
Jake Elmore,white
Jake Westbrook,white
James McDonald,black
James Paxton,white
James Pazos,hispanic
Jarrett Grube,white
Jarrod Parker,white
Jason Garcia,hispanic
Jason Grilli,white
Jason Gurka,white
Jason Lane,white
Jason Marquis,white
Jason Motte,white
Javy Guerra,hispanic
Jay Jackson,black
Jeff Beliveau,white
Jeff Ferrell,white
Jeff Francis,white
Jeff Francoeur,white
Jeff Locke,white
Jerad Eickhoff,white
Jeremy Bonderman,white
Jeremy Hefner,white
Jeremy Horst,white
Jeremy Jeffress,black
Jesse Crain,white
Jesse Hahn,white
Jim Henderson,white
Jim Miller,white
Jimmy Nelson,white
Jo-Jo Reyes,hispanic
Joe Blanton,white
Joe Ortiz,hispanic
Joe Paterson,white
Joe Ross,black
Joe Saunders,white
Joe Savery,white
Joe Wieland,white
Joel Hanrahan,white
John Cornely,white
John Gast,white
John Holdzkom,white
John Lamb,white
John Lannan,white
John Maine,white
Johnny Hellweg,white
Jon Edwards,white
Jon Garland,white
Jon Gray,white
Jon Moscot,white
Jon Niese,white
Jon Rauch,white
Jonathan Pettibone,white
Jonathan Sanchez,hispanic
Jorge De Leon,black
Jorge Lopez,white
Jorge Rondon,hispanic
Jose Alvarez,hispanic
Jose Contreras,black
Jose De La Torre,hispanic
Jose De Paula,black
Jose Mijares,hispanic
Jose Urena,black
Jose Valdez,hispanic
Jose Veras,black
Josh Edgin,white
Josh Fields,white
Josh Johnson,white
Josh Lindblom,white
Josh Osich,white
Josh Ravin,white
Josh Roenicke,white
Josh Smith,white
Josh Stinson,white
Josh Wall,white
Juan Jaime,black
Jumbo Diaz,black
Junior Guerra,hispanic
Justin De Fratus,white
Justin Freeman,white
Justin Germano,white
Justin Marks,white
Justin Nicolino,white
Kameron Loe,white
Keith Butler,white
Keith Hessler,white
Ken Giles,white
Kendall Graveman,white
Kenny Roberts,white
Keone Kela,hispanic
Kevin Chapman,white
Kevin Gausman,white
Kevin Gregg,white
Kevin Quackenbush,white
Kevin Whelan,white
Keyvius Sampson,black
Kirby Yates,white
Kris Johnson,white
Kris Medlen,white
Kyle Barraclough,white
Kyle Crockett,white
Kyle Davies,white
Kyle Drabek,white
Kyle Hendricks,white
Kyle Lobstein,white
Kyle McClellan,white
Kyle Ryan,white
Kyuji Fujikawa,asian
Leonel Campos,hispanic
Lester Oliveros,hispanic
Liam Hendriks,white
Lisalverto Bonilla,black
Logan Darnell,white
Logan Kensing,white
Logan Verrett,white
Lucas Harrell,white
Lucas Luetge,white
Luis Ayala,hispanic
Luis Garcia,hispanic
Luis Mendoza,hispanic
Luis Perez,hispanic
Luis Severino,black
Luke Hochevar,white
Luke Jackson,white
Luke Putkonen,white
Manny Banuelos,hispanic
Manny Corpas,black
Marco Gonzales,hispanic
Marcos Mateo,black
Marcus Hatley,white
Mark Lowe,white
Mat Latos,white
Matt Albers,white
Matt Andriese,white
Matt Barnes,white
Matt Boyd,white
Matt Cain,white
Matt Daley,white
Matt Grace,white
Matt Harvey,white
Matt Langwell,white
Matt Magill,white
Matt Marksberry,white
Matt Moore,white
Matt Reynolds,white
Matt Shoemaker,white
Matt Stites,white
Matt Tracy,white
Matt West,white
Matt Wisler,white
Mauricio Robles,hispanic
Mayckol Guaipe,hispanic
Melvin Mercedes,hispanic
Michael Blazek,white
Michael Bowden,white
Michael Kirkman,white
Michael Lorenzen,white
Michael Pineda,black
Michael Roth,white
Michael Stutes,white
Mickey Storey,white
Miguel Almonte,black
Miguel Castro,black
Miguel Socolovich,hispanic
Mike Belfiore,white
Mike Bolsinger,white
Mike Broadway,white
Mike Fiers,white
Mike Foltynewicz,white
Mike Gonzalez,hispanic
Mike Kickham,white
Mike Montgomery,white
Mike Pelfrey,white
Mike Wright,white
Mike Zagurski,white
Miles Mikolas,white
Mitch Harris,white
Mitchell Boggs,white
Mychal Givens,black
Nate Jones,white
Nate Karns,white
Nathan Adcock,white
Neftali Feliz,black
Neil Wagner,white
Nick Franklin,white
Nick Goody,white
Nick Greenwood,white
Nick Hagadone,white
Nick Rumbelow,white
Nick Tepesch,white
Nick Tropeano,white
Noah Syndergaard,white
Noe Ramirez,hispanic
Oliver Drake,white
Onelki Garcia,black
P.J. Walters,white
Paco Rodriguez,white
Pat McCoy,white
Pat Venditte,white
Patrick Corbin,white
Paul Clemens,white
Pedro Baez,black
Pedro Feliciano,hispanic
Pedro Figueroa,black
Pedro Hernandez,hispanic
Pedro Strop,black
Pedro Villarreal,hispanic
Peter Moylan,white
Phil Klein,white
Philip Humber,white
Phillippe Aumont,white
Preston Guilmet,white
R.J. Alvarez,white
Radhames Liz,black
Rafael Dolis,black
Rafael Montero,black
Raisel Iglesias,black
Ramon Ortiz,black
Randy Wolf,white
Raul Valdes,hispanic
Red Patterson,white
Rhiner Cruz,hispanic
Rich Hill,white
Ricky Romero,hispanic
Rob Johnson,white
Rob Rasmussen,white
Rob Scahill,white
Robert Carson,black
Roberto Osuna,hispanic
Roman Mendez,black
Ross Ohlendorf,white
Ross Wolf,white
Roy Halladay,white
Roy Oswalt,white
Rubby De La Rosa,black
Rudy Owens,white
Ryan Brasier,white
Ryan Buchter,white
Ryan Dempster,white
Ryan Dennick,white
Ryan Dull,white
Ryan Feierabend,white
Ryan Kelly,white
Ryan Madson,white
Ryan Mattheus,white
Ryan ORourke,white
Ryan Pressly,white
Ryan Reid,white
Ryan Rowland-Smith,white
Ryan Tepera,white
Ryan Weber,white
Sam Deduno,black
Sam Dyson,white
Sam Freeman,black
Sam Tuivailala,hispanic
Sammy Solis,white
Sandy Rosario,hispanic
Scott Alexander,white
Scott Barnes,white
Scott Copeland,white
Scott Diamond,white
Scott Elbert,white
Scott Feldman,white
Scott McGough,white
Scott Oberg,white
Scott Snodgress,white
Sean Burnett,white
Sean Gilmartin,white
Sean Henn,white
Sean Nolin,white
Sean OSullivan,white
Seth Rosin,white
Severino Gonzalez,hispanic
Shae Simmons,white
Shairon Martis,black
Shane Greene,white
Shane Robinson,white
Shaun Marcum,white
Shawn Armstrong,white
Simon Castro,black
Spencer Patton,white
Stephen Fife,white
Stephen Pryor,white
Steve Ames,white
Steve Geltz,white
Steve Johnson,white
Steven Matz,white
Steven Tolleson,white
Steven Wright,white
Sugar Ray Marimon,black
T.J. House,white
Tanner Scheppers,white
Taylor Hill,white
Taylor Jordan,white
Taylor Jungmann,white
Taylor Thompson,white
Ted Lilly,white
Thad Weber,white
Tim Byrdak,white
Tim Cooney,white
Tom Gorzelanny,white
Tommy Hanson,white
Tommy Layne,white
Tony Cingrani,white
Tony Zych,white
Toru Murata,asian
Travis Blackley,white
Trevor Bauer,white
Trevor Bell,white
Trevor Gott,white
Trevor May,white
Tsuyoshi Wada,asian
Tyler Chatwood,white
Tyler Cloyd,white
Tyler Cravy,white
Tyler Duffey,white
Tyler Matzek,white
Tyler Moore,white
Tyler Olson,white
Tyler Robertson,white
Tyler Wagner,white
Tyler Wilson,white
Vic Black,white
Victor Marte,black
Vince Velasquez,hispanic
Vinnie Pestano,white
Wade LeBlanc,white
Wandy Rodriguez,hispanic
Will Harris,white
Williams Perez,hispanic
Xavier Cedeno,hispanic
Yhonathan Barrios,black
Yimi Garcia,hispanic
Yohan Flande,black
Yohan Pino,hispanic
Yoslan Herrera,black
Yunesky Maya,white
Zach Clark,white
Zach Davies,white
Zach Lee,white
Zach Miner,white
Zach Phillips,white
Zack Godley,white
Zeke Spruill,white
